name,F_BUS,T_BUS,G1,G2,total
E1,1,2,2062.879443119023,0.0,2062.879443119023
E2,1,3,2612.4547487438294,0.0,2612.4547487438294
E3,2,3,33.25744604944436,18.20064457461612,51.45809062406048
