,G1,G14,G24,G30,F_BUS,T_BUS,TYPE,DONE,TAP,Total,Error
E26_PF,0.0,0.0,0.0,0.2060846188091104,27,26,E,True,1.0,0.2060846188091104,0.0
E26_PT,0.0,0.0,0.0,0.20570262008552503,27,26,E,True,1.0,0.20570262008552503,0.0
E27_PF,0.0,0.0,0.0,0.26756486297965015,28,27,E,True,1.0,0.26756486297965015,0.0
E27_PT,0.0,0.0,0.0,0.26608461880803785,28,27,E,True,1.0,0.26608461880803785,0.0
E28_PF,0.0,0.0,0.0,0.32879525773688306,29,28,E,True,1.0,0.32879525773688306,0.0
E28_PT,0.0,0.0,0.0,0.32756486297826937,29,28,E,True,1.0,0.32756486297826937,0.0
E29_PF,0.0,0.0,0.0,0.44972491193454767,30,29,E,True,1.0,0.44972491193454767,0.0
E29_PT,0.0,0.0,0.0,0.44879525773674606,30,29,E,True,1.0,0.44879525773674606,0.0
E30_PF,0.0,0.0,0.0,0.42157508806201416,30,31,E,True,1.0,0.42157508806201416,0.0
E30_PT,0.0,0.0,0.0,0.42019588431378685,30,31,E,True,1.0,0.42019588431378685,0.0
E31_PF,0.0,0.0,0.0,0.27019588431387,31,32,E,True,1.0,0.27019588431387,0.0
E31_PT,0.0,0.0,0.0,0.2700113947917782,31,32,E,True,1.0,0.2700113947917782,0.0
E32_PF,0.0,0.0,0.0,0.06001139479310472,32,33,E,True,1.0,0.06001139479310472,0.0
E32_PT,0.0,0.0,0.0,0.05999999999951516,32,33,E,True,1.0,0.05999999999951516,0.0
L2,0.1,0.0,0.0,0.0,2,0,L,True,1.0,0.1,0.0
L3,0.06065674732976772,0.0,0.02934325267023228,0.0,3,0,L,True,1.0,0.09,0.0
L4,0.08087566310635697,0.0,0.039124336893643044,0.0,4,0,L,True,1.0,0.12000000000000001,1.3877787807814457e-17
L5,0.040437831553178476,0.0,0.019562168446821522,0.0,5,0,L,True,1.0,0.06,0.0
L6,0.02513240286073457,0.0,0.012158028246112139,0.022709568893153283,6,0,L,True,1.0,0.06,0.0
L7,0.08377467620244858,0.0,0.0405267608203738,0.07569856297717763,7,0,L,True,1.0,0.2,0.0
L8,0.051941173178344444,0.07599791361097182,0.025127014481577364,0.04693389872910634,8,0,L,True,1.0,0.19999999999999996,-5.551115123125783e-17
L9,0.0,0.06,0.0,0.0,9,0,L,True,1.0,0.06,0.0
L10,0.0,0.060000000000000005,0.0,0.0,10,0,L,True,1.0,0.060000000000000005,6.938893903907228e-18
L11,0.0,0.045000000000000005,0.0,0.0,11,0,L,True,1.0,0.045000000000000005,6.938893903907228e-18
L12,0.0,0.06,0.0,0.0,12,0,L,True,1.0,0.06,0.0
L13,0.0,0.06,0.0,0.0,13,0,L,True,1.0,0.06,0.0
L14,0.0,0.12000000000000001,0.0,0.0,14,0,L,True,1.0,0.12000000000000001,1.3877787807814457e-17
L15,0.0,0.06,0.0,0.0,15,0,L,True,1.0,0.06,0.0
L16,0.0,0.06,0.0,0.0,16,0,L,True,1.0,0.06,0.0
L17,0.0,0.06,0.0,0.0,17,0,L,True,1.0,0.06,0.0
L18,0.0,0.09,0.0,0.0,18,0,L,True,1.0,0.09,0.0
L19,0.09,0.0,0.0,0.0,19,0,L,True,1.0,0.09,0.0
L20,0.09,0.0,0.0,0.0,20,0,L,True,1.0,0.09,0.0
L21,0.09,0.0,0.0,0.0,21,0,L,True,1.0,0.09,0.0
L22,0.09000000000000001,0.0,0.0,0.0,22,0,L,True,1.0,0.09000000000000001,1.3877787807814457e-17
L23,0.0,0.0,0.09,0.0,23,0,L,True,1.0,0.09,0.0
L24,0.0,0.0,0.42,0.0,24,0,L,True,1.0,0.42,0.0
L25,0.0,0.0,0.42,0.0,25,0,L,True,1.0,0.42,0.0
L26,0.0,0.0,0.0,0.06,26,0,L,True,1.0,0.06,0.0
L27,0.0,0.0,0.0,0.06,27,0,L,True,1.0,0.06,0.0
L28,0.0,0.0,0.0,0.06,28,0,L,True,1.0,0.06,0.0
L29,0.0,0.0,0.0,0.11999999999999998,29,0,L,True,1.0,0.11999999999999998,-1.3877787807814457e-17
L30,0.0,0.0,0.0,0.2,30,0,L,True,1.0,0.2,0.0
L31,0.0,0.0,0.0,0.15,31,0,L,True,1.0,0.15,0.0
L32,0.0,0.0,0.0,0.21,32,0,L,True,1.0,0.21,0.0
L33,0.0,0.0,0.0,0.060000000000000005,33,0,L,True,1.0,0.060000000000000005,6.938893903907228e-18
G1,0.810034939987645,0.0,0.0,0.0,0,1,G,True,1.0,0.810034939987645,0.0
G14,0.0,0.7539,0.0,0.0,0,14,G,True,1.0,0.7539,0.0
G24,0.0,0.0,1.0993,0.0,0,24,G,True,1.0,1.0993,0.0
G30,0.0,0.0,0.0,1.0713,0,30,G,True,1.0,1.0713,0.0
